Variable,winter_Coef,spring_Coef,Difference
seconds_after_rat_arrival,-0.012742445914266386,-0.0009258425358118455,0.01181660337845454
rat_present_at_landing,-5.122102354506755,-9.110756827706961,-3.9886544732002056
rat_minutes,0.2751553173130681,-0.013648318142449878,-0.28880363545551796
rat_arrival_number,1.3904245650069285,0.19296285135458846,-1.19746171365234
food_availability,2.600154684300562,2.760748305701002,0.16059362140043998
hours_after_sunset,0.4440965038313369,0.5345077426799142,0.09041123884857727
risk,-1.4487419768376677,20.448411455559636,21.897153432397303
reward,6.48472827234435,28.7190864659217,22.23435819357735
habit_bat,-1.3795536000258788,-8.198825860197784,-6.819272260171905
habit_bat_and_rat,-24.684780587543422,-3.2336932459241163,21.451087341619306
habit_bat_fight,-1.1624819575903236,-10.212996618346082,-9.05051466075576
habit_both,14.098838027570665,149.7405013360589,135.64166330848826
habit_fast,-10.706894712390465,-27.46106515773949,-16.754170445349025
habit_pick,-0.4950820241750016,-17.033843448040194,-16.538761423865193
habit_pick_and_others,10.852041949370665,-26.20435460280894,-37.056396552179606
habit_pick_bat,9.639368327875278,-30.60306818741696,-40.24243651529224
habit_pick_rat,-2.8047052683361238,-2.7722654063986987,0.032439861937425096
habit_rat,0.9587457773333172,-10.375935769354411,-11.33468154668773
habit_unknown,6.740158255785932,4.914433800036085,-1.8257244557498469
