start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month_x,sunset_time,hours_after_sunset,season,season_label,time,month_y,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,period_end,rat_present_at_landing,log_rat_minutes,log_rat_arrival_number,log_food_availability,hour_sin,hour_cos,rat_minutes_x_food,rat_minutes_x_hours
2017-12-26 20:57:00,1.0,unknown,2017-12-26 20:53:00,2017-12-26 20:58:00,239,0,0,0,2017-12-26 16:43:00,4.248611111,0,winter,2017-12-26 20:43:00,0,51,2.968873797,1.283333333,2,2017-12-26 21:13:00,1,0.8256363634600389,1.0986122886681098,1.3784823761172569,0.8967118615284853,0.44261477313135256,3.810054705160376,5.452384257700463
2017-12-26 20:57:00,5.0,unknown,2017-12-26 20:53:00,2017-12-26 20:58:00,199,0,0,0,2017-12-26 16:43:00,4.2375,0,winter,2017-12-26 20:43:00,0,51,2.968873797,1.283333333,2,2017-12-26 21:13:00,1,0.8256363634600389,1.0986122886681098,1.3784823761172569,0.8954205553686969,0.4452213258854684,3.810054705160376,5.4381249985875
2017-12-26 21:24:00,3.0,fast,2017-12-26 21:22:00,2017-12-26 21:27:00,121,0,1,0,2017-12-26 16:43:00,4.693611111,0,winter,2017-12-26 21:13:00,0,53,2.561403509,4.866666667,1,2017-12-26 21:43:00,1,1.7692866134328145,0.6931471805599453,1.2701547112712765,0.94208184501304,0.33538306053947686,12.465497077987132,22.842240741764535
2017-12-26 21:24:00,15.0,rat,2017-12-26 21:22:00,2017-12-26 21:27:00,88,1,0,0,2017-12-26 16:43:00,4.684444444,0,winter,2017-12-26 21:13:00,0,53,2.561403509,4.866666667,1,2017-12-26 21:43:00,1,1.7692866134328145,0.6931471805599453,1.2701547112712765,0.941274271385225,0.33764292681502106,12.465497077987132,22.797629629028147
2017-12-26 21:24:00,6.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,113,0,1,0,2017-12-26 16:43:00,4.691388889,0,winter,2017-12-26 21:13:00,0,53,2.561403509,4.866666667,1,2017-12-26 21:43:00,1,1.7692866134328145,0.6931471805599453,1.2701547112712765,0.9418865676579001,0.33593108469687627,12.465497077987132,22.83142592803046
2017-12-26 21:24:00,5.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,128,0,1,0,2017-12-26 16:43:00,4.695555556,0,winter,2017-12-26 21:13:00,0,53,2.561403509,4.866666667,1,2017-12-26 21:43:00,1,1.7692866134328145,0.6931471805599453,1.2701547112712765,0.942252451201525,0.3349034460926279,12.465497077987132,22.851703707431852
2017-12-26 21:25:00,6.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,153,0,1,0,2017-12-26 16:43:00,4.7025,0,winter,2017-12-26 21:13:00,0,53,2.561403509,4.866666667,1,2017-12-26 21:43:00,1,1.7692866134328145,0.6931471805599453,1.2701547112712765,0.9428597652562225,0.3331898303684867,12.465497077987132,22.885500001567497
2017-12-26 21:26:00,1.0,bat_fight,2017-12-26 21:22:00,2017-12-26 21:27:00,216,1,0,0,2017-12-26 16:43:00,4.72,0,winter,2017-12-26 21:13:00,0,53,2.561403509,4.866666667,1,2017-12-26 21:43:00,1,1.7692866134328145,0.6931471805599453,1.2701547112712765,0.944376370237481,0.3288666467385833,12.465497077987132,22.970666668239996
2017-12-26 21:26:00,10.0,rat,2017-12-26 21:22:00,2017-12-26 21:27:00,208,1,0,0,2017-12-26 16:43:00,4.717777778,0,winter,2017-12-26 21:13:00,0,53,2.561403509,4.866666667,1,2017-12-26 21:43:00,1,1.7692866134328145,0.6931471805599453,1.2701547112712765,0.9441848835893164,0.3294160068992231,12.465497077987132,22.959851854505924
2017-12-27 01:35:00,2.0,rat_and_no_food,2017-12-27 01:34:00,2017-12-27 01:41:00,37,1,0,0,2017-12-26 16:43:00,8.8725,0,winter,2017-12-27 01:13:00,0,16,0.0,6.683333333,1,2017-12-27 01:43:00,1,2.0390534807311638,0.6931471805599453,0.0,0.7303113264560365,-0.6831144607238413,0.0,59.297874997042506
